buen,dias,3
dias,sal,1
sal,material,1
material,libr,3
libr,cuadern,2
cuadern,material,2
libr,guard,1
guard,rap,1
rap,relacion,1
relacion,unid,2
unid,electr,2
electr,pod,2
pod,hac,4
hac,resum,4
resum,vim,4
vim,clas,6
clas,anterior,12
anterior,com,1
com,pod,8
resum,com,2
pod,resum,2
anterior,tem,1
tem,primer,2
primer,vim,2
anterior,conductor,1
conductor,electr,2
electr,vim,2
vim,seman,2
seman,pas,4
pas,ahor,2
ahor,sab,2
sab,conductor,1
conductor,maner,2
maner,pod,2
pod,concept,2
ten,electr,4
electr,ten,3
ten,conductor,4
conductor,ten,5
ten,trat,1
trat,dos,2
dos,concept,4
concept,trabaj,2
trabaj,clas,2
anterior,clas,2
clas,concept,1
concept,com,2
pod,ayud,2
ayud,clas,2
anterior,pued,2
pued,dos,2
concept,pod,2
pod,termin,1
termin,sab,2
sab,trat,2
trat,podr,2
podr,trat,2
trat,mas,2
mas,fuert,2
fuert,mas,2
mas,atras,2
atras,escuch,2
escuch,traves,2
traves,mientr,1
mientr,pued,2
pued,hab,2
hab,habl,1
habl,bastant,2
bastant,hech,2
hech,hic,2
hic,prueb,2
prueb,aqu,2
aqu,sal,4
sal,vim,2
vim,circuit,2
circuit,dond,4
dond,ten,2
ten,pil,2
pil,ten,6
ten,cabl,2
cabl,pequeñ,1
pequeñ,si,2
si,cabl,2
cabl,pil,2
pil,lueg,2
lueg,hic,4
hic,pil,2
pil,cabl,2
cabl,tip,1
tip,material,2
material,si,4
si,electr,6
electr,lleg,2
lleg,dim,2
dim,cuent,2
cuent,hab,2
hab,vari,2
vari,final,1
final,definicion,2
definicion,dond,2
dond,habl,2
habl,exist,2
exist,asi,2
asi,hab,3
hab,pas,3
pas,com,6
com,mayor,2
mayor,final,2
final,algun,2
algun,material,2
material,com,4
com,mejor,2
mejor,conductor,2
conductor,hab,2
hab,material,2
material,line,1
line,mayor,2
mayor,com,2
com,explic,2
explic,pas,2
pas,hab,4
hab,energ,2
energ,pas,1
com,acuerd,2
acuerd,material,2
material,aca,2
aca,material,2
material,conductor,2
ten,metal,2
metal,ten,6
ten,agu,2
agu,tip,1
tip,metal,2
ten,cobr,2
cobr,ten,2
ten,oro,1
oro,acuerd,2
acuerd,bastant,2
bastant,bien,4
bien,electr,2
electr,cos,2
cos,ten,4
ten,vari,2
vari,poquit,1
poquit,agu,2
agu,pil,2
ten,bastant,2
bastant,vim,2
vim,vide,2
vide,dond,2
dond,si,2
si,bastant,3
bastant,agu,2
agu,com,2
com,conductor,4
conductor,problem,2
problem,aqu,2
sal,pil,2
ten,much,2
much,men,4
men,energ,2
energ,vim,2
vim,oro,2
oro,vim,2
vim,hab,2
hab,parec,1
parec,metal,2
ten,dond,2
dond,dej,2
dej,aca,6
aca,ten,2
ten,cos,1
cos,aca,2
aca,plastic,2
plastic,ciert,2
ciert,plastic,2
plastic,asi,1
asi,dentr,2
dentr,dos,2
dos,termin,2
termin,material,2
material,import,1
import,electr,3
electr,verd,2
verd,mism,2
mism,verd,2
verd,electr,2
electr,mism,3
mism,si,2
electr,import,1
import,ten,4
ten,ciert,6
ciert,conoc,2
conoc,dond,2
dond,ciert,1
ciert,import,2
import,final,2
final,tip,1
tip,electr,2
electr,sab,4
sab,si,4
electr,algun,2
algun,lleg,2
lleg,much,2
much,mas,2
mas,abaj,2
abaj,quier,2
quier,traves,2
traves,circuit,2
dond,electr,2
electr,tal,2
tal,si,2
si,acuerd,2
acuerd,pens,2
pens,pas,2
pas,pued,1
pued,metal,2
metal,podr,2
podr,pas,2
pas,podr,2
podr,ten,2
ten,corrient,2
corrient,ciert,2
ciert,com,4
com,dic,2
dic,tip,1
tip,sal,2
sal,qued,2
qued,podr,1
podr,mejor,4
mejor,sal,2
sal,cos,2
cos,podr,2
mejor,pues,2
pues,mas,2
mas,cabl,2
cabl,quien,1
quien,plastic,2
plastic,cabl,2
cabl,plastic,2
plastic,hac,2
hac,mas,2
mas,aqu,2
aqu,electr,1
electr,aca,2
aca,comput,2
comput,vari,2
vari,part,2
part,cabl,2
cabl,ten,2
ciert,dej,2
dej,tod,1
tod,part,2
part,plastic,4
plastic,aca,2
aca,algun,2
algun,cabl,2
cabl,ahor,2
ahor,si,6
si,dej,4
dej,puest,1
puest,com,2
com,plastic,2
plastic,si,4
si,iba,2
iba,ten,2
ten,com,4
com,electr,8
electr,podr,5
podr,tod,1
tod,si,2
si,sup,4
sup,cabl,2
cabl,vist,2
vist,pas,2
pas,si,4
sup,escrib,2
escrib,cuent,2
cuent,cabl,2
cabl,lad,2
lad,podr,2
podr,com,2
com,pued,3
pued,electr,2
electr,pued,3
pued,cos,2
cos,final,2
final,complet,1
complet,electr,2
electr,men,2
men,ten,2
ten,conoc,4
conoc,manten,2
manten,dentr,2
dentr,cas,2
cas,ciert,2
ciert,habl,2
habl,tod,2
tod,cas,1
cas,centr,2
centr,hic,2
hic,hech,2
hech,ciert,2
ciert,hab,1
hab,hic,2
hic,hac,2
hac,tiemp,2
tiemp,ciert,2
com,gent,2
gent,ten,2
ten,energ,3
energ,electr,4
electr,much,2
much,com,2
com,cas,2
cas,tan,2
tan,grand,2
grand,much,2
much,gent,4
gent,aca,2
aca,ocurr,2
ocurr,ciert,3
ciert,clas,2
clas,podr,2
podr,electr,2
electr,asi,2
hab,agu,2
agu,final,1
final,hab,2
hab,com,2
conductor,sol,2
sol,cabl,2
cabl,person,1
person,deb,2
deb,ten,6
ten,vid,2
vid,sup,2
sup,ocurr,2
ciert,pequeñ,2
pequeñ,com,2
pued,tip,2
tip,hech,2
hech,aca,2
aca,centr,2
centr,cas,2
cas,pequeñ,2
pequeñ,lleg,2
gent,cos,2
cos,comput,2
comput,celul,2
celul,tod,2
tod,pong,2
pong,com,2
com,asi,1
asi,com,10
com,sol,2
sol,vec,2
