BIO,QCA,FIS,NUM,PREG,FEED,EXPON,ADMIN,SISTEMA
"('celul', 0.005022881359293905)","('atom', 0.022393546139121482)","('carg', 0.020372915188060062)","('dos', 0.005292533828218115)","('com', 0.027899405060884945)","('si', 0.021643453415228813)","('hac', 0.015974723192329895)","('pod', 0.00877768900959914)","('cuent', 0.0019780117148570997)"
"('cuerp', 0.002599492077974599)","('carg', 0.020372915188060062)","('mas', 0.01835308811388067)","('4', 0.0035621476685789195)","('cual', 0.010623125564448036)","('hac', 0.015974723192329895)","('aca', 0.01510709062683822)","('pas', 0.005715038027981769)","('discovery', 0.0013870878227151113)"
"('man', 0.001346055499909171)","('quimic', 0.019098623000898603)","('energ', 0.015221277856797697)","('tres', 0.002571419874149801)","('pregunt', 0.009004108259534141)","('bien', 0.013615214763102611)","('pued', 0.012090298832235339)","('entreg', 0.005214890357748418)","('internet', 0.001087561976914534)"
"('sangr', 0.0009240713640825558)","('compuest', 0.01551440756837745)","('negat', 0.008017343919185547)","('1', 0.002187907844837868)","('dond', 0.00720933093508422)","('pued', 0.012090298832235339)","('dic', 0.011468795503740198)","('clas', 0.004697094336636764)","('sistem', 0.0008066475932097022)"
"('mol', 0.0009090920560414035)","('electron', 0.013467210358636206)","('form', 0.007628336520420645)","('2', 0.0020320366292253243)","('sab', 0.003261249467548195)","('dic', 0.011468795503740198)","('ten', 0.009756401834423922)","('sal', 0.004658972436344505)","('clav', 0.0007245793581051362)"
"('nutrient', 0)","('proton', 0.009966623147798908)","('electr', 0.006903691829375718)","('cuatr', 0.0015479384370128701)","('podr', 0.002364620629418287)","('pod', 0.00877768900959914)","('pregunt', 0.009004108259534141)","('escuch', 0.003260315512615454)","('comput', 0)"
"('aliment', 0)","('neutr', 0.008439958930716557)","('agu', 0.005867678989275401)","('5', 0.0011695834184586357)","('quien', 0.002250333911631823)","('tod', 0.008420438257958322)","('pod', 0.00877768900959914)","('hic', 0.0027384159479833634)","('equip', 0)"
"('corazon', 0)","('grup', 0.008219651728648148)","('model', 0.005587034308085793)","('8', 0.0011123756768112965)","('cuant', 0.0022450572135304207)","('quier', 0.007709243744605021)","('tod', 0.008420438257958322)","('vay', 0.0026552875154143307)","('plataform', 0)"
,"('negat', 0.008017343919185547)","('regl', 0.004192998357668095)","('10', 0.000836294090033848)","('?', 0)","('mir', 0.007362869026188899)","('voy', 0.008332727181417582)","('habl', 0.0024509588883550133)",
,"('sodi', 0.007908310146391954)","('fuerz', 0.0038894924494629704)","('6', 0)",,"('dij', 0.0060822712708681805)","('aqu', 0.008228373590755468)","('atencion', 0.0020540866192140443)",
