grafic,sac,1
sac,cuadern,1
cuadern,dia,1
dia,vam,4
vam,a,57
a,pued,2
pued,pizarr,2
pizarr,por,2
por,favor,14
favor,necesit,1
necesit,algun,1
algun,niñ,4
niñ,se,4
se,que,6
que,se,25
se,por,2
favor,pas,2
pas,necesit,2
necesit,que,9
que,algun,2
niñ,val,2
val,objet,2
objet,clas,6
clas,hoy,4
hoy,ecuacion,1
ecuacion,algebr,26
algebr,a,2
a,este,2
este,com,1
com,trabaj,4
trabaj,hoy,6
hoy,dia,10
dia,resolv,2
resolv,que,4
que,resolv,6
que,signif,4
signif,resolv,2
resolv,da,2
da,respuest,2
respuest,que,4
que,concept,2
concept,que,2
que,ver,6
ver,resolv,2
resolv,realiz,2
realiz,oper,2
oper,que,4
que,a,16
a,oper,2
oper,matemat,2
matemat,algui,2
algui,mas,10
mas,acuerd,2
acuerd,que,3
que,si,8
si,conten,2
conten,clas,2
hoy,funcion,1
funcion,algebr,2
algebr,que,4
que,caracterist,2
caracterist,ten,2
ten,ecuacion,2
algebr,iguald,2
iguald,que,3
que,incognit,11
incognit,que,3
que,letr,6
letr,que,5
que,mas,6
mas,ten,2
ten,dentr,2
dentr,ecuacion,2
ecuacion,si,2
si,compañer,2
compañer,nombr,2
nombr,que,2
incognit,mas,2
mas,oper,2
oper,pued,2
pued,ten,2
ten,ciert,2
ciert,dond,1
dond,usted,6
usted,quier,4
quier,que,6
mas,ecuacion,5
algebr,letr,2
letr,iguald,2
iguald,incognit,2
incognit,sol,1
sol,letr,4
letr,numer,6
numer,ciert,2
ciert,a,2
a,matemat,2
matemat,hoy,2
a,usar,2
usar,estrategi,2
estrategi,discovery,1
discovery,este,2
este,conten,2
conten,lueg,2
lueg,vam,4
a,trabaj,8
trabaj,text,2
text,comput,2
comput,ahor,2
ahor,maner,2
maner,si,1
si,cuadern,2
cuadern,objet,2
objet,hoy,2
dia,a,2
a,11,2
11,que,1
que,necesit,6
necesit,sab,2
sab,ten,1
ten,list,2
list,que,2
que,objet,1
objet,ciert,2
ciert,que,8
que,vam,10
a,realiz,2
realiz,clas,2
clas,que,6
que,usted,10
usted,esper,2
esper,clas,2
que,quier,13
quier,sab,4
sab,clas,2
clas,okay,2
okay,esper,2
esper,pod,1
pod,proces,2
proces,clas,2
clas,mejor,2
mejor,ecuacion,2
ecuacion,que,15
que,ecuacion,6
algebr,algui,2
mas,quier,4
quier,realiz,4
realiz,mas,3
ecuacion,sab,2
sab,com,3
com,se,6
se,hac,6
hac,sab,2
sab,a,2
a,mejor,16
mejor,proces,2
proces,mas,2
mas,facil,6
facil,bien,2
bien,objet,1
objet,vam,1
vam,ahor,2
ahor,chic,2
chic,hab,2
hab,conten,2
conten,diferent,4
diferent,ciert,4
ciert,van,2
van,a,28
a,algun,2
algun,cos,2
cos,algun,2
algun,regl,2
regl,vam,2
a,observ,2
observ,vide,6
vide,quier,1
que,vide,6
vide,tom,2
tom,vam,2
a,vide,4
vide,vam,2
a,revis,2
revis,ver,2
ver,que,6
mejor,cuent,2
cuent,primer,2
primer,vez,2
esper,que,6
que,carg,2
carg,vide,2
vide,mientr,2
mientr,se,2
se,100,2
100,grup,2
grup,que,2
que,ahor,4
ahor,lleg,2
lleg,a,4
a,compañer,2
a,busc,8
busc,nuev,2
nuev,objet,1
objet,dond,2
usted,observ,2
vide,lueg,4
lueg,van,6
a,sin,1
sin,observ,2
recuerd,que,16
vide,va,2
va,a,32
a,ser,4
ser,vist,2
vist,dos,2
dos,vec,2
vec,primer,2
primer,tom,2
tom,lueg,2
a,tem,2
tem,que,6
vide,a,1
a,ver,14
ver,dud,2
dud,que,4
que,final,2
final,vam,2
ver,vide,2
vide,van,2
a,dat,2
dat,que,4
mejor,prim,2
prim,vide,2
vide,se,2
se,cuent,2
algun,dud,6
dud,chic,2
chic,com,2
com,llam,4
llam,que,2
dia,person,1
person,que,10
realiz,pas,2
pas,activ,2
activ,que,2
que,realiz,2
realiz,igual,4
igual,si,2
si,mism,2
mism,que,8
que,hic,6
hic,ayer,4
ayer,conten,2
diferent,va,1
a,ten,10
ten,que,13
que,hac,16
hac,form,2
form,si,2
si,acuerd,16
acuerd,activ,2
activ,se,2
se,deb,4
deb,realiz,2
igual,que,6
que,pas,13
pas,que,5
quier,carg,2
carg,internet,2
internet,mas,1
mas,que,8
que,todav,1
todav,que,2
ahor,com,2
com,tod,2
tod,grup,1
grup,por,2
ahor,si,6
si,silenci,4
silenci,atencion,2
atencion,a,2
a,pantall,2
pantall,necesit,2
que,martin,2
martin,pued,2
pued,leer,2
leer,inform,2
inform,que,4
que,aparec,8
aparec,aqu,4
aqu,vide,4
vide,por,2
favor,a,1
a,martin,1
martin,tal,1
tal,audi,2
audi,ven,1
ven,bien,2
bien,tod,2
tod,ver,2
ver,com,4
com,funcion,4
funcion,cos,4
cos,poquit,1
poquit,que,2
que,pued,19
pued,ir,2
ir,tom,2
tom,niñ,1
niñ,pued,2
pued,ser,10
ser,cos,2
cos,nuev,4
nuev,estudi,2
estudi,lug,1
lug,tod,3
tod,mism,6
mism,si,3
si,sab,6
sab,cuant,4
cuant,pued,4
pued,cad,4
cad,estudi,4
estudi,recuerd,4
recuerd,estudi,2
estudi,tod,1
tod,estudi,4
estudi,algun,4
algun,mas,2
mas,segun,1
segun,cantid,6
cantid,person,8
pued,cual,4
cual,cantid,6
cantid,com,3
com,pued,10
pued,matemat,6
matemat,situacion,6
situacion,cuant,5
cuant,minut,6
minut,com,1
minut,tod,2
mism,estudi,4
estudi,que,9
que,entreg,6
entreg,com,2
pued,termin,2
termin,que,1
pued,entreg,4
entreg,dia,4
dia,que,6
que,deb,6
deb,que,3
que,tiemp,4
tiemp,entreg,4
este,vide,2
vide,situacion,2
situacion,cotidian,8
cotidian,que,3
pued,aplic,2
aplic,ecuacion,2
ecuacion,com,2
com,dec,2
dec,titul,2
titul,que,1
que,situacion,2
cotidian,usted,2
usted,pud,2
pud,que,2
se,pued,9
pued,com,4
com,ecuacion,4
ecuacion,dic,2
dic,que,10
que,tom,4
tom,que,4
que,dij,4
dij,clas,2
ecuacion,incognit,2
que,ten,4
ten,iguald,2
que,numer,4
numer,a,4
a,se,4
se,tres,2
tres,situacion,2
cotidian,a,2
a,cual,1
cual,usted,2
usted,tres,2
tres,que,2
usted,que,4
si,ahi,2
ahi,se,2
hac,ecuacion,2
ecuacion,pregunt,3
pregunt,si,2
si,cuant,2
cuant,person,8
person,usted,1
usted,por,2
por,que,4
que,dat,2
pas,cual,2
cual,ser,2
ser,incognit,4
incognit,usted,2
usted,dic,2
que,recuerd,3
recuerd,bien,2
bien,ser,2
incognit,ciert,2
ciert,sab,2
cuant,qued,1
qued,pod,2
pod,recuerd,2
recuerd,ahi,2
ahi,com,2
com,inform,2
inform,sab,2
sab,cual,2
cual,que,6
que,ciert,1
ciert,pregunt,2
pregunt,por,2
por,tiemp,2
tiemp,esper,2
esper,este,2
este,objet,2
objet,podr,2
podr,algun,2
algun,si,1
si,ecuacion,2
pregunt,cuant,2
cuant,ten,2
ten,pod,1
pod,cuant,2
cuant,cad,2
cad,com,1
com,much,2
much,cre,2
cre,que,2
que,cuant,3
cuant,a,2
a,lleg,1
mejor,tod,2
tod,carg,2
carg,si,2
si,mas,2
mas,cuant,2
cuant,se,6
se,entreg,2
entreg,baj,1
baj,cas,2
cas,si,2
si,quier,2
que,variabl,2
variabl,que,4
que,dic,10
dic,dond,2
dond,vien,2
vien,regl,1
regl,vide,2
vide,chic,2
chic,bien,2
