vide,ingres,1
ingres,hoy,1
hoy,dia,1
dia,van,1
van,a,7
a,observ,1
observ,com,2
com,se,8
se,llam,6
llam,buen,1
buen,sol,2
sol,lueg,2
lueg,escrib,2
escrib,si,1
si,primer,2
primer,que,2
que,se,10
se,com,2
com,angul,2
angul,ciert,6
ciert,ser,2
ser,cuant,4
cuant,grad,4
grad,aca,2
aca,punt,1
punt,ciert,2
ciert,aca,2
aca,cuant,2
grad,90,2
90,quien,2
quien,90,1
90,grad,16
grad,aqu,2
aqu,cuant,2
cuant,ser,2
cuant,aqu,2
aqu,este,2
este,mas,1
mas,90,8
90,cuant,2
cuant,si,1
si,ser,2
ser,se,1
se,que,2
que,pas,6
pas,que,2
que,buen,2
buen,que,4
que,aqu,4
aqu,0,2
0,grad,6
grad,med,2
med,angul,4
angul,aqu,2
aqu,vam,2
vam,90,2
90,aqu,2
aqu,lleg,2
lleg,a,6
a,angul,1
ciert,com,2
com,que,13
se,profesor,2
profesor,angul,1
angul,que,14
que,ten,2
ten,angul,9
angul,ser,4
ser,men,2
men,90,8
grad,men,1
90,por,2
por,vam,2
vam,a,10
a,hac,8
hac,angul,2
angul,este,2
este,ser,2
ser,angul,4
angul,men,2
grad,que,1
que,90,8
90,dia,2
dia,que,4
que,lleg,7
lleg,ciert,2
ciert,por,2
por,este,4
este,men,2
90,letr,2
letr,que,2
que,dic,6
dic,que,10
que,menor,1
menor,asi,2
asi,se,2
se,menor,2
menor,mayor,4
mayor,se,2
se,si,4
si,pong,2
pong,que,2
que,angul,6
angul,mayor,2
mayor,que,6
90,pong,1
pong,asi,2
asi,dic,2
dic,ciert,2
ciert,se,2
se,dic,4
angul,menor,2
menor,que,8
grad,ser,2
que,represent,2
represent,angul,1
angul,rect,4
rect,cual,2
cual,angul,2
angul,cuant,2
cuant,mid,2
mid,por,1
por,entonc,2
entonc,igual,2
igual,a,12
a,90,6
grad,por,2
por,ser,3
ser,igual,2
grad,dia,2
que,ser,7
ser,asi,2
asi,ciert,1
ciert,dia,2
dia,com,2
dic,angul,2
rect,igual,2
grad,lueg,2
lueg,ten,4
que,caracterist,2
caracterist,angul,2
angul,mid,2
mid,mas,4
grad,angul,3
que,mid,2
mas,com,2
com,ejempl,2
ejempl,algui,3
algui,quier,2
quier,ven,2
ven,bien,1
bien,com,2
com,llam,2
llam,entonc,1
entonc,triangul,2
triangul,clar,2
clar,si,2
si,coloc,2
coloc,por,2
por,aqu,2
aqu,angul,4
ciert,aqu,2
aqu,ahi,2
ahi,por,2
ser,que,4
que,med,2
med,mas,2
90,angul,2
angul,lleg,2
lleg,aca,4
aca,mas,2
90,lueg,2
ten,se,1
se,acuerd,4
acuerd,menor,2
ser,menor,4
que,mayor,4
que,com,4
com,ser,1
90,que,2
ser,mayor,2
mayor,hac,2
hac,tip,1
tip,angul,2
que,numer,2
numer,que,2
que,defin,2
hac,ejempl,4
ejempl,que,3
que,parec,4
parec,a,2
a,este,2
este,poquit,2
poquit,mas,2
mas,cual,1
cual,diferent,2
diferent,definicion,2
definicion,menor,1
mayor,rang,2
rang,despues,2
despues,ten,6
angul,dond,2
dond,menor,2
menor,igual,1
a,igual,2
a,si,9
si,que,6
que,este,8
este,punt,1
punt,por,2
este,angul,4
que,ciert,2
ciert,despues,1
ten,mayor,1
mayor,a,4
si,mayor,2
a,signif,2
signif,que,2
lleg,aqu,2
aqu,segu,2
segu,ciert,2
ciert,ahi,2
ahi,que,2
que,segu,4
segu,entonc,2
entonc,vam,2
ejempl,vam,1
a,pon,2
pon,aca,2
aca,cual,1
cual,ser,4
segu,mas,2
mas,grand,4
grand,que,4
pas,rect,2
rect,pued,2
