,NUM-OPER,GEOM,FUNC,PROBAB,EXPON,PREG,FEED,ESTUD,ADMIN,NUM,SISTEMA
0,"('numer', 0.007784004587003978)","('a', 0.04305532341598106)","('com', 0.015358970598889826)","('cuadr', 0.009311563138568488)","('se', 0.022557852342973285)","('com', 0.015358970598889826)","('que', 0.09058789040987464)","('usted', 0.009692226784273941)","('despues', 0.0037230388508044934)","('dos', 0.005534807889161626)","('discovery', 0.0023477162652105177)"
1,"('ecuacion', 0.004400979765170825)","('cuadr', 0.009311563138568488)","('relacion', 0.005053545413560775)","('tabl', 0.0030044956306490324)","('si', 0.01973644237367544)","('cuant', 0.00961343699470545)","('pued', 0.010994944181034852)","('niñ', 0.0022960273726278973)","('carg', 0.003663998053124148)","('3', 0.0036787556239025005)","('comput', 0.002039388798005407)"
2,"('matemat', 0.0032637335206473243)","('lad', 0.008921718411845072)","('ecuacion', 0.004400979765170825)","('clas', 0.002969063313031859)","('por', 0.017470128600237642)","('cual', 0.005654563646289985)","('bien', 0.00911241347659896)","('compañer', 0.0019040409303242244)","('sal', 0.0035188566585903905)","('1', 0.0031855039026864127)","('equip', 0.00140676976064368)"
3,"('valor', 0.0027639491947439045)","('triangul', 0.007747280004579528)","('funcion', 0.00438180392894576)","('jueg', 0.0025229268469895635)","('pued', 0.010994944181034852)","('dond', 0.0040331045803972294)","('primer', 0.0036513956349868933)","('chic', 0.001798178628645127)","('favor', 0.003428811697533336)","('4', 0.0031456720580030437)","('interact', 0.0013104082949231028)"
4,"('sum', 0.002368124577273688)","('are', 0.005399588594799863)","('x', 0.00415886604821015)","('grafic', 0.002419022260804981)","('vam', 0.009987865980666847)","('pregunt', 0.0037327047949188507)","('sab', 0.0034639182921136847)","('chiquill', 0.0017938987692186629)","('estudi', 0.002778181035447202)","('2', 0.003035728497996489)","('usuari', 0.0011180857514728974)"
5,"('*', 0.0017847876144113024)","('rectangul', 0.002971689610702522)","('divid', 0.0017212067864007137)","('investig', 0.0023294102206160676)","('entonc', 0.009847414372118371)","('quien', 0.001675557146150784)","('correct', 0.0030895896473813905)","('vay', 0.0015982163674599017)","('asi', 0.002777867717612754)","('tres', 0.0029654833144786316)","('internet', 0.0011068065644820107)"
6,"('divid', 0.0017212067864007137)","('catet', 0.0023199965162818323)","('raiz', 0.00151459278469144)","('med', 0.002275490193939317)","('hac', 0.00967124732011876)",,"('buen', 0.0028674892176221143)","('profesor', 0.0011951021357340273)","('ingres', 0.002747286837198846)","('5', 0.0029057216521749868)","('contraseñ', 0.0010955844841817797)"
7,"('cantid', 0.001713656191445302)","('med', 0.002275490193939317)","('incognit', 0.0013057490453128237)","('dat', 0.0022655869846818937)","('cuant', 0.00961343699470545)",,"('grup', 0.002678595347242261)","('luis', 0.0007677093686960583)","('segund', 0.002461310928408183)","('10', 0.002626149257800136)","('pantall', 0.0010834780774421056)"
8,"('vec', 0.0016935447396634275)","('pitagor', 0.002058091522881009)","('correspond', 0.0012790531557981023)","('probabil', 0.0021964987588530558)","('mas', 0.008721080501911024)",,"('sum', 0.002368124577273688)","('martin', 0.0007641164122523548)","('dia', 0.002195859078264942)","('cuatr', 0.0024058884177809237)","('rut', 0.0009493773023863733)"
9,"('multiplic', 0.001441985619096063)","('figur', 0.002016867838693918)","('sign', 0.0012730575201586158)","('poblacion', 0.0019667622508480875)","('tod', 0.007779566824609308)",,"('cre', 0.0023601266607953986)","('tio', 0.0007309521941119537)","('cas', 0.0020911764155497983)","('6', 0.001925263882384641)","('panel', 0.0008670643424889147)"
