,LECTURA,ESCRITURA,COMUNIC,LENGUA-LIT,EXPON,FEED,ADMIN,PREG,ESTUD,NUM
0,"('se', 0.03918603538620969)","('hac', 0.02100097392009834)","('hac', 0.02100097392009834)","('ensay', 0.008786546916279486)","('obra', 0.009484896323686598)","('pued', 0.016114613647309595)","('sal', 0.011191946222548325)","('com', 0.026415480101794047)","('usted', 0.009989119803549858)","('dos', 0.003029946554137616)"
1,"('si', 0.024571014720739706)","('quier', 0.012417911559337715)","('grup', 0.016816172117253374)","('pregunt', 0.007297522484516949)","('ver', 0.008544685999647658)","('buen', 0.004813490735549944)","('clas', 0.005862908184252781)","('pod', 0.018928324337991048)","('benjamin', 0.0026955578154616404)","('4', 0.0019851074064179447)"
2,"('hac', 0.02100097392009834)","('sal', 0.011191946222548325)","('ensay', 0.008786546916279486)","('cre', 0.007260325690141938)","('voy', 0.0073803194086171356)","('falt', 0.004202636054820476)","('curs', 0.0028894796854137907)","('pued', 0.016114613647309595)","('catalin', 0.0024172496566899114)","('5', 0.0019335483060257943)"
3,"('pod', 0.018928324337991048)","('mañan', 0.008708655623419027)","('pas', 0.008609599715630693)","('verd', 0.004633651108131524)","('primer', 0.0065801562637584085)","('mal', 0.0029658829726882914)","('not', 0.0012681117507229575)","('quier', 0.012417911559337715)","('william', 0.001524003449217977)","('1', 0.0017357592583646755)"
4,"('grup', 0.016816172117253374)","('cre', 0.007260325690141938)","('dec', 0.007776424550755909)","('tem', 0.004479981771770778)","('personaj', 0.005057733519918739)","('mir', 0.0027344909762889807)",,"('cual', 0.009293451399886373)","('carl', 0.0007302132787450637)","('3', 0.0015127460593190732)"
5,"('pued', 0.016114613647309595)","('dramat', 0.006567754495577909)","('atras', 0.007710941850932164)","('histori', 0.004095754423923404)","('libr', 0.004808678528793532)","('import', 0.002646587762776916)",,"('quien', 0.0073352019143075545)","('sof', 0)","('tres', 0.0013733526254184197)"
6,"('tod', 0.014230706246678415)","('much', 0.00598023785785218)","('habl', 0.006773933413242396)","('sab', 0.003988487257089917)","('shakespear', 0.004701693146293147)","('mejor', 0.0024403456813993814)",,"('cuand', 0.006312546880930185)","('juan', 0)","('2', 0.0013546437037882497)"
7,"('ser', 0.010779977738219064)","('parec', 0.005383116644941976)","('dij', 0.006699350439965399)","('problem', 0.003823713237692034)","('cuent', 0.003643028558031229)","('sup', 0.001993584336209553)",,"('algun', 0.004592186047308654)","('luis', 0)","('cuatr', 0.0010882258525461447)"
8,"('dia', 0.009161979036639558)","('mat', 0.005181213990658769)","('primer', 0.0065801562637584085)","('proposit', 0.0036664630799215702)","('text', 0.003033739300834807)","('exact', 0.0008703227881960002)",,"('dond', 0.004039290320021791)","('jos', 0)","('12', 0.0009275985988272098)"
9,"('pas', 0.008609599715630693)","('algun', 0.004592186047308654)","('chiquill', 0.005798270730520609)","('cas', 0.003295122881656535)","('ejempl', 0.002909517757821281)","('respuest', 0)",,"('algui', 0.0034966942707161156)","('paul', 0)","('10', 0)"
