,LECTURA,ESCRITURA,COMUNIC,LENGUA-LIT,EXPON,FEED,ADMIN,PREG,ESTUD,NUM
0,"('se', 0.03391564206205486)","('hac', 0.014503772758524335)","('hac', 0.014503772758524335)","('pregunt', 0.009425547527956313)","('text', 0.009155030823582707)","('pued', 0.013660907283246145)","('clas', 0.004862235554578159)","('com', 0.02565496567187568)","('usted', 0.014442110599620514)","('dos', 0.006849330215866744)"
1,"('si', 0.02293085656616144)","('quier', 0.006720621221526911)","('entonc', 0.009734461620533106)","('sab', 0.0059349618137364375)","('voy', 0.00783012255731981)","('import', 0.00677659130464125)","('sal', 0.0042545878821288186)","('pued', 0.013660907283246145)","('luis', 0.0014536375655706869)","('2', 0.0022001982307146423)"
2,"('hac', 0.014503772758524335)","('hab', 0.006445016221984398)","('habl', 0.009537886541754675)","('histori', 0.004002942679199261)","('ver', 0.007561877913339037)","('buen', 0.005963253720945925)","('not', 0.0032008378329040255)","('cuand', 0.007413541440583819)","('ignaci', 0.0014429529597704508)","('tres', 0.002033946245020488)"
3,"('pued', 0.013660907283246145)","('algun', 0.00633414876054451)","('pas', 0.0069707211020132425)","('tem', 0.003991553406403386)","('primer', 0.0057581606583750455)","('respuest', 0.004262258538440517)","('curs', 0.0010300515668100604)","('cual', 0.007028844565626432)","('carl', 0.0013036727293810192)","('5', 0.0020247914112346494)"
4,"('tod', 0.013408237677314997)","('trabaj', 0.006040988510409744)","('dec', 0.00617602827483411)","('cre', 0.003959073603118361)","('inform', 0.005392177560337294)","('mal', 0.003358112688393599)",,"('quier', 0.006720621221526911)","('juan', 0.0012665359414469146)","('3', 0.0016650488023487067)"
5,"('ser', 0.010892673797460397)","('sab', 0.0059349618137364375)","('trabaj', 0.006040988510409744)","('ir', 0.0037017232600433103)","('ejempl', 0.004710549480606896)","('mir', 0.003059687974386426)",,"('algun', 0.00633414876054451)","('jos', 0.001189798389161618)","('1', 0.0015855438839220293)"
6,"('dic', 0.010086940211668378)","('medi', 0.005367178699558416)","('primer', 0.0057581606583750455)","('ide', 0.0035670223531815357)","('cuent', 0.004250680371010747)","('mejor', 0.0026982392117057283)",,"('pod', 0.005605084112920341)","('isabell', 0.001145126607250281)","('4', 0.001347965045122926)"
7,"('ciert', 0.009342268945762029)","('cos', 0.00521507270965321)","('inform', 0.005392177560337294)","('cas', 0.003355139652851897)","('notici', 0.0040464499431916)","('sup', 0.002407913059301441)",,"('dond', 0.00528844940670129)","('felip', 0.0011403884310778073)","('cuatr', 0.0013058760493771795)"
8,"('va', 0.008203022264382577)","('much', 0.004957738146468319)","('medi', 0.005367178699558416)","('objet', 0.002778933726817753)","('libr', 0.0038756156553475885)","('falt', 0.001889261829741192)",,"('quien', 0.0045380842123120815)","('william', 0.001123234418322014)","('12', 0.0012695560818627234)"
9,"('ahi', 0.00711041395872439)","('termin', 0.004690784107810913)","('termin', 0.004690784107810913)","('hombr', 0.002753174348457088)","('hoy', 0.003471412220135057)","('buenisim', 0.0013449567787386558)",,"('podr', 0.004123216434237272)","('sof', 0.0010601181356268976)","('10', 0.0009350684377741731)"
