okay,graci,1
graci,vam,3
vam,sesion,2
sesion,comenz,1
comenz,trabaj,2
trabaj,vam,1
vam,dic,2
dic,mism,2
mism,si,3
si,mir,4
mir,voy,2
voy,ayud,4
ayud,rap,2
ahi,bien,1
bien,aca,3
aca,tod,2
tod,dond,2
dond,pagin,2
pagin,com,1
com,punt,2
punt,mir,2
mir,ahi,5
ahi,vist,2
vist,rap,2
rap,tod,1
tod,pus,1
perfect,usted,1
usted,sab,2
sab,clas,2
clas,asi,4
asi,ciert,2
ciert,asi,2
asi,primer,2
primer,tod,2
tod,vam,2
vam,buen,2
buen,niñ,2
niñ,com,1
com,bien,2
bien,vam,2
vam,ide,2
ide,profesor,2
niñ,vam,4
vam,com,2
com,tod,2
tod,clas,2
clas,mir,2
mir,pong,2
pong,atencion,8
atencion,vam,2
vam,ver,12
ver,vam,4
vam,hac,2
hac,clas,2
clas,hac,1
hac,vam,2
ver,usted,2
usted,vam,2
vam,trabaj,2
trabaj,numer,2
numer,usted,2
usted,valor,2
valor,posicional,14
posicional,decen,2
decen,mil,2
mil,numer,2
numer,form,1
form,acuerd,2
acuerd,valor,2
posicional,vam,2
ver,clas,2
asi,pong,2
pong,much,2
much,atencion,2
atencion,dic,4
dic,asi,6
asi,numer,1
numer,valor,9
posicional,numer,2
numer,vam,2
vam,cuant,2
cuant,val,18
val,numer,6
posicional,vuelt,1
vuelt,mir,2
mir,entonc,2
entonc,pregunt,2
pregunt,numer,2
numer,3,8
3,unid,8
unid,decen,8
decen,centen,8
centen,3,2
unid,ciert,3
ciert,numer,8
ciert,unid,2
unid,val,6
3,equival,2
equival,3,2
3,dec,2
dec,mism,2
mism,dig,10
dig,3,4
3,1,4
1,3,2
1,cuant,6
cuant,ciert,2
ciert,excelent,2
excelent,bien,3
bien,numer,1
numer,6,8
6,unid,2
centen,decen,4
decen,ciert,2
6,decen,2
decen,sab,2
sab,decen,2
decen,val,6
val,10,6
10,unidad,6
unidad,dec,2
dec,val,1
10,numer,4
6,mism,2
dig,6,2
6,10,10
10,dec,4
dec,6,2
10,decen,4
unidad,numer,3
6,x,2
x,6,1
10,cuant,4
cuant,6,6
numer,seis,2
seis,decen,2
val,explic,2
explic,excelent,2
excelent,algui,4
algui,dij,4
dij,ahi,2
ahi,val,1
val,hac,2
hac,decen,2
decen,10,2
unidad,6,4
6,equival,2
equival,6,2
10,pued,2
pued,si,2
si,val,2
val,cinc,1
cinc,centen,2
centen,bien,4
bien,ciert,6
ciert,cuant,11
val,centen,4
centen,100,2
100,ciert,2
ciert,centen,2
centen,val,6
val,100,6
100,unidad,2
unidad,equival,2
equival,5,2
5,100,8
100,5,3
5,mism,2
dig,cinc,2
cinc,100,2
100,igual,2
igual,5,2
100,500,4
500,5,2
100,cuant,10
cuant,5,2
500,ciert,2
ciert,5,2
5,equival,2
equival,500,2
500,bien,1
bien,tres,2
tres,unid,2
unid,mil,18
mil,cuant,2
val,unid,4
mil,unidad,2
unidad,bien,2
bien,entonc,2
entonc,3,2
mil,unid,6
mil,equival,2
equival,1000,2
1000,unidad,2
3,mism,2
3,1000,2
1000,pong,2
atencion,mism,1
dig,500,2
500,3,4
3,entiend,2
entiend,dic,2
dic,si,2
si,ciert,4
ciert,si,2
si,sum,2
sum,1000,1
1000,500,2
3,ciert,4
ciert,vam,2
ver,aca,2
aca,siguient,2
siguient,numer,1
numer,ciert,4
cuant,unidad,24
unidad,fijat,2
fijat,cuant,4
unidad,200,2
200,cuent,2
cuent,cuant,1
cuant,centen,12
centen,6,4
6,cuant,2
unidad,mil,10
mil,2,2
2,excelent,2
excelent,entonc,2
entonc,ciert,2
ciert,ahi,2
ahi,numer,5
ciert,dos,4
dos,unidad,8
unidad,1000,18
1000,cuant,8
cuant,equival,8
equival,seis,1
seis,centen,6
centen,cuant,4
equival,ciert,2
unidad,aqu,1
aqu,entiend,2
entiend,niñ,2
niñ,excelent,2
dij,part,2
part,entend,6
entend,cuentem,2
cuentem,entend,2
entend,part,3
entend,2,2
2,equival,4
equival,dos,2
1000,com,2
com,unid,2
val,sac,2
sac,dos,2
1000,multiplic,1
multiplic,dos,2
