comenz,sesion,1
sesion,usted,1
usted,trabaj,1
trabaj,ver,1
ver,ayud,1
ayud,23,1
23,bien,1
bien,numer,1
numer,30,2
30,5,2
5,nuev,1
nuev,sab,2
sab,cuadern,1
cuadern,cuadr,2
cuadr,rap,1
rap,tiemp,1
tiemp,voy,2
voy,ahi,1
ahi,niñ,1
niñ,pong,2
pong,atencion,14
atencion,aca,4
aca,com,2
com,tod,2
tod,clas,2
clas,ciert,2
ciert,buen,1
buen,niñ,2
niñ,bien,2
bien,vam,1
vam,ver,12
ver,pong,2
atencion,escrib,2
escrib,represent,2
represent,numer,4
numer,mixt,52
mixt,simbol,2
simbol,problem,2
problem,asi,2
asi,podr,1
podr,explic,2
explic,palabr,2
palabr,numer,2
mixt,coloc,2
coloc,vist,2
vist,clas,2
clas,recuerd,2
recuerd,numer,2
mixt,cuentem,2
cuentem,usted,1
usted,señorit,2
señorit,numer,2
mixt,bien,2
bien,tod,2
tod,1,2
1,numer,2
numer,enter,35
enter,numer,7
mixt,form,4
form,numer,4
mixt,numer,4
enter,entonc,4
entonc,enter,3
enter,1,2
1,fraccion,2
fraccion,bien,5
bien,entonc,6
entonc,pong,2
aca,mir,2
mir,si,2
si,mir,2
mir,aca,2
aca,pong,1
atencion,si,4
si,numer,6
enter,fraccion,11
fraccion,propi,12
propi,fraccion,4
propi,men,2
men,enter,2
numer,mayor,3
mayor,enter,2
enter,ejempl,4
ejempl,litr,2
litr,medi,2
medi,vam,2
ver,siguient,2
siguient,ejempl,2
ejempl,numer,4
mixt,vist,2
vist,2,1
2,kil,2
kil,hac,2
hac,ejempl,2
enter,dos,22
dos,enter,34
enter,aca,4
aca,derech,2
derech,numer,2
numer,2,2
2,fraccion,2
fraccion,total,2
total,cuatr,2
cuatr,divid,2
divid,cuatr,8
cuatr,4,1
4,part,6
part,cuant,4
cuant,numer,2
enter,cuatr,6
cuatr,part,12
part,cuatr,2
part,total,2
total,fraccion,1
propi,enter,2
entonc,numer,5
mixt,enter,2
enter,cas,5
cas,dos,6
propi,hac,4
hac,enter,2
mixt,ahor,1
ahor,excelent,2
excelent,veam,2
veam,numer,2
numer,vam,2
vam,dibuj,2
dibuj,represent,2
mixt,com,2
com,fraccion,4
fraccion,dos,4
enter,com,6
com,represent,2
represent,enter,2
aca,dos,2
enter,ahor,3
ahor,represent,2
represent,ciert,2
ciert,figur,4
figur,divid,8
part,denomin,4
denomin,cuatr,3
part,aca,1
aca,enter,2
enter,dec,2
dec,dos,4
enter,ahi,6
ahi,represent,2
represent,dibuj,2
dibuj,numer,2
mixt,entiend,3
entiend,tod,2
tod,excelent,2
excelent,numer,1
mixt,siguient,2
siguient,fraccion,2
fraccion,represent,4
represent,ver,2
ver,numer,2
mixt,vam,2
vam,part,2
part,pregunt,2
pregunt,levant,2
levant,man,6
man,algui,2
algui,pued,2
pued,fraccion,1
represent,aqu,2
aqu,ver,2
ver,cuatr,2
cuatr,bien,2
bien,ciert,2
cuatr,cuent,2
cuent,4,1
4,com,2
com,bien,2
bien,dij,2
dij,compañer,4
compañer,com,2
com,dij,2
dij,bien,2
bien,juan,2
juan,cuatr,2
cuatr,equival,2
equival,enter,3
enter,segund,2
segund,figur,2
figur,cuant,6
cuant,equival,2
enter,levant,2
man,pued,2
pued,dec,2
dec,fraccion,2
fraccion,figur,9
figur,dij,2
dij,levant,2
man,señorit,2
señorit,profesor,2
profesor,fraccion,2
fraccion,voy,1
voy,dar,2
dar,palabr,2
palabr,señorit,2
señorit,usted,2
usted,dos,4
dos,excelent,4
excelent,felicit,3
felicit,figur,2
divid,4,2
cuant,fraccion,2
dos,ciert,2
ciert,4,2
4,denomin,4
denomin,4,2
part,2,2
2,numer,2
enter,cuant,4
cuant,dos,2
enter,bien,2
entonc,dos,4
dos,dec,2
dos,mism,6
mism,dig,6
dig,dos,4
dos,ahi,4
ahi,numer,4
entiend,niñ,2
niñ,excelent,2
excelent,vam,2
