timestamp,group,transcription,rbd,grade,date,length,length (secs),NUM-OPER,PATR-ALG,GEOM,MEDIC,DATOS,ADMIN,EXPON,FEED,PREG,ESTUD,SISTEMA,NUM
Amador_record_temp,T,1,9861,4 A,2019-11-19,00:18:33,1113,0.15471487903432488,0.037313222747575814,0.15571843103509353,0.042691753808955075,0.01293141164616251,0.04250526417127678,0.1581379382055207,0.16589343907598605,0.04941287509198744,0.025266178925967855,0.0901053057402838,0.06530930051686541
1575986680316,C,1,9870,4 A,2019-12-10,00:40:32,2432,0.21316344798148354,0.01176759486500101,0.005826673985476133,0.01239378731004086,0.041847953411098024,0.04966696320254042,0.2125731792159699,0.1949530475881331,0.06271397288900614,0.05613171659280701,0.0846802136731131,0.05428144928533103
1575982954016,C,1,8519,4 A,2019-12-10,01:16:57,4617,0.14639748669725097,0.03200168873532623,0.08145790006326625,0.09575929181936256,0.003479718743347481,0.07158742679604427,0.2171507860035678,0.18873942731694968,0.05588035371766447,0.016877053623179837,0.03405377199642006,0.056615094487620435
1575647592983,C,1,10799,4 B,2019-12-06,00:59:37,3577,0.13548784933458435,0.03167211167297854,0.0017606999488052914,0.011516535342200207,0.0053138552142049655,0.06288018814698464,0.19752247499915027,0.2186384580894155,0.11838035526696748,0.05492195027518338,0.047283097057428176,0.11462242465209717
1575642117008,C,1,10799,4 A,2019-12-06,00:55:35,3335,0.19418883143674287,0.05205252235319159,0.004295415025567751,0.013207344221384263,0.003960915951849108,0.04942787050546512,0.2105667122079877,0.2001050418777885,0.05075082748017482,0.02851263679931055,0.04195069812494733,0.15098118401559005
1575547060168,C,1,9886,4 A,2019-12-06,00:51:55,3115,0.18352623736911342,0.01589747256363629,0.0063593616232987295,0.005113088916682626,0.024452964239394602,0.07736910858694097,0.2101747637078238,0.2193152612490606,0.05676069677878876,0.025547631072372953,0.02797395967353422,0.147509454219353
1575467185815,C,1,9998,4 A,2019-12-04,00:39:41,2381,0.16933148177398002,0.014869153037974547,0.14321954358674616,0.06299503753904157,0.0,0.02825685390933102,0.15322358480316361,0.21169303982812984,0.0564298542336707,0.02336737397896899,0.033318275241958115,0.10329580206703509
1575466744963,C,1,9888,4 A,2019-12-04,00:40:34,2434,0.1340311537734538,0.014304529122437116,0.0513821934048754,0.007544512808197669,0.014143646750144161,0.06479343851772712,0.2538373689053841,0.2310804326270749,0.04865887456737986,0.05877066689470713,0.047567944515365224,0.07388523811325365
1575385767778,C,1,9882,4 A,2019-12-03,00:52:38,3158,0.1651439607496875,0.03767829625814418,0.0036213979904538207,0.0,0.15273132479089663,0.08662778411397172,0.23308022745363674,0.15926605319214537,0.07421860401490099,0.011758787452052563,0.012432057295364497,0.06344150668874597
1575382033661,C,1,9874,4 A,2019-12-03,00:57:34,3454,0.22532731223365748,0.025539122749418598,0.01982494040538444,0.011816500977401622,0.015132045884111746,0.08218937202691624,0.16665382079978056,0.17181275980897923,0.07948186498296417,0.037031753259186395,0.04497121558672051,0.12021929128547879
1575381336259,C,1,9882,4 B,2019-12-03,00:51:05,3065,0.29535050242850297,0.015305498450881125,0.004576116734482589,0.0092494628738324,0.007946363640449396,0.057035538142567864,0.17393149983317793,0.21297379814321854,0.10489724637120786,0.026520461526809768,0.014808979656329192,0.07740453219854064
1575380622095,C,1,9865,4 A,2019-12-03,01:05:37,3937,0.11876525280156862,0.021254310950175853,0.007879608282016098,0.003496657048194612,0.06902827005049936,0.06981786756783111,0.22735191259184018,0.2105267121221638,0.06804922189872102,0.060677578705282724,0.03688147605689869,0.10627113192480839
1575375985613,C,1,10368,4 D,2019-12-03,01:02:16,3736,0.2486112641267271,0.044297712591180954,0.005232094978439759,0.007248195247929719,0.004824880356151098,0.056615708496686484,0.20433066546612294,0.13913782982856865,0.07740608490444367,0.07591993769530331,0.03487325988498155,0.10150236642346436
1575029889332,C,1,26538,4 B,2019-11-29,00:56:44,3404,0.16344329982112052,0.03446965089398844,0.020830904114995667,0.00933832292082886,0.14985423429133302,0.04791523011616011,0.17287755996503756,0.1818709793263616,0.055810756957110005,0.038956925170429646,0.022920806595349272,0.10171132982728552
1574949587319,T,1,10162,4 A,2019-11-28,00:52:28,3148,0.24144274577692826,0.011135883677070725,0.008335633920849423,0.012748987782804325,0.0,0.03958052758167903,0.19413673454551084,0.21070752030470666,0.06239909861673089,0.0423528434747099,0.057734387091268824,0.11942563722774088
1574944651333,T,1,10162,4 D,2019-11-28,00:47:35,2855,0.21370960536273023,0.02393072780243352,0.00882423123680949,0.01822522277810183,0.0,0.03572733665163815,0.1903025414961729,0.20786669120666532,0.07502738845338745,0.04782043282462061,0.0440738940840796,0.1344919281033612
1574943522083,C,1,26538,4 E,2019-11-28,00:54:03,3243,0.11412196366721251,0.022270376370721687,0.020099713543813826,0.006759175293802381,0.11052918130326246,0.09794404284256611,0.2015851392932502,0.21653108156076858,0.061179184754416215,0.03746411928276027,0.061075442591387405,0.050440579496038085
1574792569246,T,1,10001,4 A,2019-11-26,00:59:04,3544,0.18376190787217342,0.019921687278475108,0.0,0.0432481824729544,0.0,0.04173040715612073,0.21300066043196295,0.17010980204967072,0.07568223910061071,0.017638348750091987,0.1108717118795076,0.12403505300843236
1574785298942,T,1,10001,4 B,2019-11-26,00:47:04,2824,0.3676300003455773,0.030253114443970247,0.006088602537189927,0.009121043515085903,0.008303507386641226,0.026131770128563703,0.1416374094879279,0.20177727846651944,0.06396067175968521,0.036267234289519,0.04971016107945345,0.059119206559867014
1574783425000,C,1,26538,4 F,2019-11-26,00:23:57,1437,0.09671852082178994,0.024003321280894496,0.008215638313263537,0.01800145688529817,0.15553773244241909,0.06487522535543835,0.21093249986147614,0.17042397561156358,0.03648052683771174,0.03446511899937111,0.08035004892638789,0.09999593466438579
1574779658155,C,1,26538,4 A,2019-11-26,00:53:02,3182,0.17691985265213248,0.0380524364533743,0.011095399289966675,0.023945707134633842,0.10470703676816971,0.08915636832411925,0.17806751381793334,0.18541142841796024,0.08244880034699344,0.03788914930610097,0.017908016072717484,0.05439829141589824
