NUM-OPER,PATR-ALG,GEOM,MEDIC,DATOS,ADMIN,EXPON,FEED,PREG,ESTUD,SISTEMA,NUM
"('com', 0.027053624885722542)","('pon', 0.005483638627730186)","('angul', 0.005339269727498555)","('are', 0.0050378484630063365)","('tabl', 0.00975897160026896)","('vam', 0.02323976376864197)","('hac', 0.020830781506714875)","('si', 0.030220022984814954)","('com', 0.027053624885722542)","('usted', 0.01211463101532145)","('termin', 0.00685795452635259)","('3', 0.006810020529030987)"
"('numer', 0.012154680706097994)","('cas', 0.004686008469702757)","('form', 0.004617515522079406)","('mid', 0.002584791565492565)","('grafic', 0.008275425376983236)","('voy', 0.016205423681552217)","('pued', 0.019448078225399557)","('pued', 0.019448078225399557)","('cuant', 0.01535968501674843)","('compañer', 0.004719636634827038)","('sal', 0.00499870271807046)","('5', 0.006368721117543389)"
"('dos', 0.009970694029371742)","('lad', 0.004178472261169525)","('cuadr', 0.0033739768508169775)","('med', 0.0024880669983474756)","('encuest', 0.008230185642018259)","('man', 0.005153414399743652)","('ver', 0.013270941653926779)","('bien', 0.018122493722639302)","('dond', 0.007309101874065536)","('martin', 0.0028497974267200983)","('clas', 0.004040332435920146)","('2', 0.004791728221514225)"
"('tod', 0.009435867066121945)","('igual', 0.003275719145836235)","('cuadricul', 0.0030907885923929946)","('tiemp', 0.002382121372345716)","('inform', 0.007824206215047081)","('cuadern', 0.004987440934197162)","('aqu', 0.012219466037199141)","('entonc', 0.015852042661275392)","('termin', 0.00685795452635259)","('javi', 0.002188380221567366)","('cerr', 0.0037479870700476182)","('10', 0.004476634167997263)"
"('qued', 0.006309617713066913)","('val', 0.002746342997177209)","('transport', 0.002978463508915646)","('minut', 0.002229025315772205)","('pictogram', 0.005952152427900537)","('puest', 0.0030621582813423844)","('mir', 0.011581549536539596)","('mir', 0.011581549536539596)","('quien', 0.004980966168535987)","('jos', 0.0019223787362112354)","('abiert', 0.0032907734115408837)","('14', 0.0039583416323061725)"
"('dec', 0.0060660627970427925)","('pong', 0.0023941593851584974)","('figur', 0.002935303003678223)","('hor', 0.0018660599367139904)","('vot', 0.00533938410605806)","('sac', 0.0021890434231881255)","('ahor', 0.010994258542539576)","('pregunt', 0.009578082084596108)","('podr', 0.004824550836218753)","('chic', 0.0019193702036705087)","('lug', 0.0024217440739061164)","('4', 0.0036343877773780298)"
"('part', 0.005686941433428695)","('derech', 0.001828252209777485)","('rect', 0.001743053766106577)","('vuelt', 0.0016509041766616845)","('dat', 0.004053280896906904)","('sientat', 0.0020162865653854567)","('ahi', 0.009866570893926759)","('ciert', 0.009199136080861323)","('algui', 0.0035981454874964847)","('mat', 0.0018349624875443383)","('ejercici', 0.00209396742838305)","('9', 0.003613890944885979)"
"('dibuj', 0.00510665927459797)","('x', 0.0014646088938327952)","('espaci', 0.001123958634519177)","('ancho', 0.0012510642493340587)","('barr', 0.0032305456080591708)","('pizarr', 0.0019234614399855146)","('dic', 0.009585836124421368)","('coloc', 0.0057897207379000466)",,"('amor', 0.0016220729459328568)","('verd', 0.0019828951013239116)","('1', 0.003478355279161199)"
"('mism', 0.005105558850191594)","('balanz', 0.0012442912120448173)","('circul', 0.0008024963075550466)","('rectangul', 0.0009322659889421251)","('frecuenci', 0.0032174600580921983)","('lapiz', 0.0019111506486034404)","('trabaj', 0.008969996659065418)","('deb', 0.004823449147378134)",,"('catalin', 0.0016149058484173405)","('ide', 0.0017951837262494706)","('tres', 0.003347565503624308)"
"('sal', 0.00499870271807046)","('ecuacion', 0.00121003161154789)","('triangul', 0)","('larg', 0.0007105857049339078)","('constru', 0.003156577217280224)","('rap', 0.0014795890733944096)","('aca', 0.00866884827442483)","('levant', 0.0048011510661215995)",,"('niñ', 0.0015947654858382546)","('curs', 0.0016840321809740144)","('6', 0.0031994199033377906)"
