NUM-OPER,PATR-ALG,GEOM,MEDIC,DATOS,ADMIN,EXPON,FEED,PREG,ESTUD,SISTEMA,NUM
"('numer', 0.020306050837167654)","('lad', 0.007301502457760122)","('cuadr', 0.008131668953123101)","('are', 0.006181971260048601)","('inform', 0.0027451303563371774)","('vam', 0.011403449959152089)","('hac', 0.013650207665256353)","('si', 0.026724841665946842)","('cuant', 0.02481790583052862)","('usted', 0.007616976340733484)","('clas', 0.0056628509521253236)","('5', 0.007705132285677968)"
"('com', 0.017340112108083217)","('igual', 0.0063468414697453275)","('angul', 0.00674986387933248)","('med', 0.003315264027550244)","('grafic', 0.002660327648957153)","('voy', 0.010970293440938089)","('aca', 0.012258563608873457)","('ciert', 0.019980960137643732)","('com', 0.017340112108083217)","('compañer', 0.004786113954723428)","('carg', 0.004487443156473995)","('4', 0.006474714409982467)"
"('dos', 0.015032773196985653)","('cas', 0.005831219114761288)","('figur', 0.005421631688545112)","('metr', 0.0028163989723423307)","('barr', 0.0017391293585898463)","('sac', 0.00300717045021244)","('dic', 0.010088578135792307)","('bien', 0.01590007922288931)","('dond', 0.004263981890398318)","('chic', 0.004413726644515642)","('ejercici', 0.003935159052774381)","('3', 0.006434707949430161)"
"('enter', 0.010794437569655488)","('incognit', 0.004940086590277781)","('rect', 0.003553789716643557)","('mid', 0.0025522727721786387)","('pictogram', 0.0013104925338525784)","('man', 0.0024254867096812787)","('ver', 0.009277715734783837)","('entonc', 0.015000099167661221)","('quien', 0.00281568414735149)","('niñ', 0.0037309695767658024)","('sal', 0.0033814286544495017)","('10', 0.006422722794428822)"
"('part', 0.010072737927350632)","('ecuacion', 0.004815736733214403)","('form', 0.00342755799530742)","('centimetr', 0.0022463933169633295)","('vertical', 0.0011090082345916602)","('cuadern', 0.0021189238090785377)","('pued', 0.008929722323494508)","('pregunt', 0.009993724817757201)","('podr', 0.002796600386986791)","('julian', 0.002031878839195193)","('bander', 0.003222306514184996)","('2', 0.00571874749192635)"
"('sum', 0.009826070909667221)","('pon', 0.004396078408883591)","('espaci', 0.003316663575961181)","('vuelt', 0.0022073897053461362)","('constru', 0.0009864804722108003)","('profesor', 0.001581680892868311)","('ahor', 0.00873141144751517)","('pued', 0.008929722323494508)","('termin', 0.002611307219347622)","('pedr', 0.0019025182731038349)","('mand', 0.00300015315703626)","('tres', 0.0047417086095592155)"
"('fraccion', 0.009302736727306311)","('pong', 0.004352449258587599)","('triangul', 0.0023140054184634423)","('kilometr', 0.0021441096126757187)","('dat', 0.000927400237775457)","('pizarr', 0.0014722115383626173)","('ahi', 0.008537397385608592)","('mir', 0.006200627391589638)","('algui', 0.002041118296843717)","('catalin', 0.0015945651668547336)","('termin', 0.002611307219347622)","('cuatr', 0.004666606875424968)"
"('dec', 0.008338095566155454)","('balanz', 0.003832702977473787)","('circul', 0.001572858238669732)","('recorr', 0.002015657558422751)","('tabl', 0.0006885672015595469)","('rap', 0.001470625851225605)","('sab', 0.007520972376086682)","('excelent', 0.005399135826413031)",,"('martin', 0.0015790188082555512)","('comput', 0.0025842386226931375)","('6', 0.00412295709364934)"
"('mism', 0.007737296676399703)","('iguald', 0.003360853825351244)","('cub', 0.0014347685765482006)","('litr', 0.0019742412689894894)","('titul', 0.0005896661510945686)","('adel', 0.0012467961383554143)","('asi', 0.007140904202356572)","('recuerd', 0.004705018250865565)",,"('señorit', 0.001514890624156889)","('siguient', 0.0025376152786229646)","('8', 0.003295701793235976)"
"('tod', 0.007468551841719199)","('x', 0.003341390854150134)","('transport', 0.0007458983555901082)","('perimetr', 0.0018526280519252391)","('vot', 0)","('puest', 0.0011362520535365729)","('qued', 0.006407308935596345)","('ejempl', 0.004434420892934669)",,"('daniel', 0.0014738107076085881)","('lug', 0.0020696320718831046)","('1', 0.0032707422552936396)"
